release_date;movie;production_budget;domestic_gross;worldwide_gross;distributor;mpaa_rating;genre;profit_ratio;decade
1985-10-04;Commando;10000000;35073978;35073978;20th Century Fox;R;Action;3,50739780000000e+00;1980
2016-01-22;The Boy;10000000;35819556;68220952;Other;PG-13;Horror;6,82209520000000e+00;2010
1985-07-10;Mad Max Beyond Thunderdome;10000000;36230219;36230219;Warner Bros.;PG-13;Action;3,62302190000000e+00;1980
2001-02-16;Recess: School's Out;10000000;36696761;44451470;Other;G;Adventure;4,44514700000000e+00;2000
1985-06-28;St. Elmo’s Fire;10000000;37800000;37800000;Sony Pictures;R;Drama;3,78000000000000e+00;1980
2001-08-31;Jeepers Creepers;10000000;37904175;58939035;Other;R;Horror;5,89390350000000e+00;2000
2017-10-27;Jigsaw;10000000;38052832;102499582;Other;R;Horror;1,02499582000000e+01;2010
1996-02-16;Happy Gilmore;10000000;38623460;41004412;Universal;PG-13;Comedy;4,10044120000000e+00;1990
1962-10-04;The Longest Day;10000000;39100000;50100000;20th Century Fox;G;Action;5,01000000000000e+00;1960
1989-02-17;Bill & Ted's Excellent Adventure;10000000;40485039;40485039;Other;PG;Adventure;4,04850390000000e+00;1980
2012-05-04;The Best Exotic Marigold Hotel;10000000;46383639;134639780;Other;PG-13;Comedy;1,34639780000000e+01;2010
2017-11-03;Lady Bird;10000000;48958273;78610769;Other;R;Drama;7,86107690000000e+00;2010
1992-10-02;The Mighty Ducks;10000000;50752337;50752337;Other;PG;Comedy;5,07523370000000e+00;1990
2015-06-05;Insidious Chapter 3;10000000;52218558;120678444;Other;PG-13;Horror;1,20678444000000e+01;2010
1986-10-17;The Color of Money;10000000;52293000;52293000;Other;R;Drama;5,22930000000000e+00;1980
2005-01-07;White Noise;10000000;56094360;92094360;Universal;PG-13;Drama;9,20943600000000e+00;2000
2006-02-24;Madea's Family Reunion;10000000;63257940;63320521;Other;PG-13;Comedy;6,33205210000000e+00;2000
2007-10-26;Saw IV;10000000;63300095;135759694;Other;R;Horror;1,35759694000000e+01;2000
2000-08-25;Bring it On;10000000;68353550;90453550;Universal;PG-13;Comedy;9,04535500000000e+00;2000
2016-07-01;The Purge: Election Year;10000000;79042440;118557124;Universal;R;Horror;1,18557124000000e+01;2010
2006-10-27;Saw III;10000000;80238724;163876815;Other;R;Horror;1,63876815000000e+01;2000
1981-06-26;Stripes;10000000;85300000;85300000;Other;R;Comedy;8,53000000000000e+00;1980
2016-08-26;Don’t Breathe;10000000;89217875;159047649;Sony Pictures;R;Horror;1,59047649000000e+01;2010
2004-10-22;The Grudge;10000000;110359362;187281115;Sony Pictures;PG-13;Horror;1,87281115000000e+01;2000
1997-12-05;Good Will Hunting;10000000;138433435;225925989;Other;R;Drama;2,25925989000000e+01;1990
2007-08-24;September Dawn;10100000;1066555;1066555;Other;R;Drama;1,05599504950495e-01;2000
1983-02-18;Lovesick;10100000;10143618;10143618;Warner Bros.;NA;Comedy;1,00431861386139e+00;1980
2004-02-20;The Blue Butterfly;10400000;1610194;1610194;Other;PG;Drama;1,54826346153846e-01;2000
2007-04-20;In the Land of Women;10500000;11052958;14140402;Warner Bros.;PG-13;Comedy;1,34670495238095e+00;2000
1968-04-02;2001: A Space Odyssey;10500000;58583410;70576492;Other;G;Adventure;6,72157066666667e+00;1960
1982-06-11;ET: The Extra-Terrestrial;10500000;435110554;792965326;Universal;PG;Drama;7,55205072380952e+01;1980
2004-12-25;Darkness;10600000;22163442;34409206;Other;PG-13;Horror;3,24615150943396e+00;2000
1999-06-18;An Ideal Husband;10700000;18542974;31341183;Other;PG-13;Comedy;2,92908252336449e+00;1990
1982-06-04;Poltergeist;10700000;74706019;121706019;Other;PG;Horror;1,13743942990654e+01;1980
2007-04-27;Jindabyne;10800000;399879;2862544;Other;R;Drama;2,65050370370370e-01;2000
2012-05-25;Les Intouchables;10800000;13182281;484873045;Other;R;Comedy;4,48956523148148e+01;2010
2008-10-24;Saw V;10800000;56746769;118209778;Other;R;Horror;1,09453498148148e+01;2000
2012-05-04;LOL;11000000;0;10431506;Other;PG-13;Comedy;9,48318727272727e-01;2010
2011-08-26;Brighton Rock;11000000;229653;229653;Other;R;Drama;2,08775454545455e-02;2010
2006-11-10;Copying Beethoven;11000000;355968;6586324;Other;PG-13;Drama;5,98756727272727e-01;2000
2007-09-07;Romance and Cigarettes;11000000;551002;3231251;Other;R;Comedy;2,93750090909091e-01;2000
1991-01-01;Return to the Blue Lagoon;11000000;2000000;2000000;NA;PG-13;Adventure;1,81818181818182e-01;1990
1970-01-01;The Molly Maguires;11000000;2200000;2200000;NA;PG;Drama;2,00000000000000e-01;1970
1995-05-12;The Perez Family;11000000;2794056;2794056;Other;R;Comedy;2,54005090909091e-01;1990
1995-12-14;Othello;11000000;2844379;2844379;Sony Pictures;R;Drama;2,58579909090909e-01;1990
2003-01-31;The Guru;11000000;3051221;24150550;Universal;R;Comedy;2,19550454545455e+00;2000
2004-10-10;Vera Drake;11000000;3753806;13353855;Other;R;Drama;1,21398681818182e+00;2000
2003-09-26;The Gospel of John;11000000;4068087;4234355;Other;PG-13;Drama;3,84941363636364e-01;2000
2002-02-01;Slackers;11000000;4814244;5942218;Sony Pictures;R;Comedy;5,40201636363636e-01;2000
1993-12-25;What's Eating Gilbert Grape;11000000;9170214;9170214;Paramount Pictures;PG-13;Drama;8,33655818181818e-01;1990
2004-11-12;Kinsey;11000000;10214647;17443529;Other;R;Drama;1,58577536363636e+00;2000
1993-02-19;Army of Darkness;11000000;11502976;21502976;Universal;R;Horror;1,95481600000000e+00;1990
2013-12-06;Inside Llewyn Davis;11000000;13248209;32943247;Other;R;Drama;2,99484063636364e+00;2010
2001-03-30;Tomcats;11000000;13558739;13558739;Sony Pictures;R;Comedy;1,23261263636364e+00;2000
2000-10-13;The Ladies Man;11000000;13592872;13719474;Paramount Pictures;R;Comedy;1,24722490909091e+00;2000
2001-11-21;Out Cold;11000000;13906394;14786394;Other;PG-13;Comedy;1,34421763636364e+00;2000
2013-01-11;Quartet;11000000;18388357;56178935;Other;PG-13;Comedy;5,10717590909091e+00;2010
1975-01-01;Barry Lyndon;11000000;20000000;20169934;Warner Bros.;PG;Drama;1,83363036363636e+00;1970
1978-04-13;F.I.S.T;11000000;20388920;20388920;Other;NA;Drama;1,85353818181818e+00;1970
2001-10-12;Corky Romano;11000000;23978402;25116103;Other;PG-13;Comedy;2,28328209090909e+00;2000
2009-10-23;Saw VI;11000000;27693292;69752402;Other;R;Horror;6,34112745454545e+00;2000
1981-06-12;History of the World: Part I;11000000;31672000;31672000;20th Century Fox;NA;Comedy;2,87927272727273e+00;1980
2015-04-01;Woman in Gold;11000000;33307793;57019592;Other;PG-13;Drama;5,18359927272727e+00;2010
2008-10-17;The Secret Life of Bees;11000000;37780486;39994347;Other;PG-13;Drama;3,63584972727273e+00;2000
1999-03-05;Cruel Intentions;11000000;38230075;75803716;Sony Pictures;R;Drama;6,89124690909091e+00;1990
2015-11-04;Brooklyn;11000000;38322743;62076141;Other;PG-13;Drama;5,64328554545455e+00;2010
1995-12-29;Dead Man Walking;11000000;39387284;83088295;Other;R;Drama;7,55348136363636e+00;1990
2002-01-25;A Walk to Remember;11000000;41227069;46060915;Warner Bros.;PG;Drama;4,18735590909091e+00;2000
1989-04-07;Major League;11000000;49793054;49793054;Paramount Pictures;R;Comedy;4,52664127272727e+00;1980
2014-08-22;If I Stay;11000000;50474843;78356170;Warner Bros.;PG-13;Drama;7,12328818181818e+00;2010
1992-03-13;My Cousin Vinny;11000000;52929168;52929168;20th Century Fox;R;Comedy;4,81174254545455e+00;1990
2006-09-22;Jackass: Number Two;11000000;72778712;85278712;Paramount Pictures;R;Comedy;7,75261018181818e+00;2000
1991-12-27;Fried Green Tomatoes;11000000;81204830;81204830;Universal;PG-13;Drama;7,38225727272727e+00;1990
2010-12-10;The Fighter;11000000;93617009;129262388;Paramount Pictures;R;Drama;1,17511261818182e+01;2010
1965-12-22;Doctor Zhivago;11000000;111721000;111859493;Other;PG-13;Drama;1,01690448181818e+01;1960
1984-06-08;Gremlins;11000000;148168459;148199515;Warner Bros.;PG;Comedy;1,34726831818182e+01;1980
1977-05-25;Star Wars Ep. IV: A New Hope;11000000;460998007;786598007;20th Century Fox;PG;Adventure;7,15089097272727e+01;1970
2009-10-09;St. Trinian’s;11400000;15000;29830239;Other;PG-13;Comedy;2,61668763157895e+00;2000
2016-01-22;Dirty Grandpa;11500000;35593113;105241410;Other;R;Comedy;9,15142695652174e+00;2010
1989-04-21;Pet Sematary;11500000;57469179;57469179;Paramount Pictures;R;Horror;4,99731991304348e+00;1980
2015-11-20;Carol;11800000;12711491;42895440;Other;R;Drama;3,63520677966102e+00;2010
1998-03-20;Madadayo;11900000;48856;48856;Other;NA;Drama;4,10554621848739e-03;1990
1999-12-10;Diamonds;11900000;81897;81897;Other;PG-13;Comedy;6,88210084033613e-03;1990
2016-09-23;The Dressmaker;11900000;2022115;24041617;Other;R;Drama;2,02030394957983e+00;2010
2015-11-11;10 Days in a Madhouse;12000000;14616;14616;Other;R;Drama;1,21800000000000e-03;2010
2011-08-19;5 Days of War;12000000;17479;87793;Other;R;Drama;7,31608333333333e-03;2010
2015-10-09;Trash;12000000;17484;6553186;Other;R;Adventure;5,46098833333333e-01;2010
2009-11-07;Nanjing! Nanjing!;12000000;122558;20122558;Other;R;Drama;1,67687983333333e+00;2000
2001-03-09;Company Man;12000000;146028;622273;NA;PG-13;Comedy;5,18560833333333e-02;2000
1999-09-17;Breakfast of Champions;12000000;178287;178287;Other;R;Comedy;1,48572500000000e-02;1990
2010-09-03;San qiang pai an jing qi;12000000;190946;310946;Other;R;Drama;2,59121666666667e-02;2010
2006-01-06;Fateless;12000000;196857;196857;Other;R;Drama;1,64047500000000e-02;2000
2007-09-28;Trade;12000000;214202;1513388;Other;R;Drama;1,26115666666667e-01;2000
1997-10-31;Critical Care;12000000;220175;220175;NA;R;Drama;1,83479166666667e-02;1990
2008-04-18;Life Before Her Eyes;12000000;303439;7203439;Other;R;Drama;6,00286583333333e-01;2000
2010-06-04;Ondine;12000000;550472;557545;Other;PG-13;Drama;4,64620833333333e-02;2010
2012-04-20;Darling Companion;12000000;793352;1200346;Other;PG-13;Comedy;1,00028833333333e-01;2010
2005-09-30;Duma;12000000;870067;994790;Warner Bros.;PG;Adventure;8,28991666666667e-02;2000
2011-03-11;Kill the Irishman;12000000;1188194;1188194;Other;R;Drama;9,90161666666667e-02;2010
2008-03-07;Married Life;12000000;1506998;2975188;Other;PG-13;Drama;2,47932333333333e-01;2000
2013-03-01;Stoker;12000000;1703125;12034913;Other;R;Drama;1,00290941666667e+00;2010
2002-06-14;The Dangerous Lives of Altar Boys;12000000;1779284;1779284;Other;R;Drama;1,48273666666667e-01;2000
1999-03-19;Ravenous;12000000;2062406;2062406;20th Century Fox;R;Horror;1,71867166666667e-01;1990
1981-11-13;The Pursuit of D.B. Cooper;12000000;2104164;2104164;Universal;NA;Adventure;1,75347000000000e-01;1980
2007-03-09;Gwoemul;12000000;2201923;92618117;Other;R;Action;7,71817641666667e+00;2000
2002-02-15;Last Orders;12000000;2326407;2326407;Other;R;Drama;1,93867250000000e-01;2000
2009-02-13;Two Lovers;12000000;3149034;16349034;Other;R;Drama;1,36241950000000e+00;2000
2008-02-22;Charlie Bartlett;12000000;3950294;5295909;Other;R;Comedy;4,41325750000000e-01;2000
1996-03-22;Girl 6;12000000;4880941;4880941;Other;R;Comedy;4,06745083333333e-01;1990
1986-06-06;Invaders from Mars;12000000;4884663;4984663;Other;NA;Horror;4,15388583333333e-01;1980
1998-11-20;Celebrity;12000000;5078660;6200000;Other;R;Comedy;5,16666666666667e-01;1990
2006-11-17;For Your Consideration;12000000;5549923;5549923;Other;PG-13;Comedy;4,62493583333333e-01;2000
1993-09-03;Fortress;12000000;6730578;46730578;Other;R;Action;3,89421483333333e+00;1990
2006-10-20;Running With Scissors;12000000;6860000;8706701;Sony Pictures;R;Comedy;7,25558416666667e-01;2000
2000-05-12;Screwed;12000000;6982680;6982680;Universal;PG-13;Comedy;5,81890000000000e-01;2000
2008-12-05;Cadillac Records;12000000;8195551;8942516;Sony Pictures;R;Drama;7,45209666666667e-01;2000
2017-10-13;Marshall;12000000;10051659;10116816;Other;PG-13;Drama;8,43068000000000e-01;2010
2002-03-22;Sorority Boys;12000000;10198766;12516222;Other;R;Comedy;1,04301850000000e+00;2000
2004-12-03;House of Flying Daggers;12000000;11050094;92863945;Other;PG-13;Action;7,73866208333333e+00;2000
1982-02-10;Das Boot;12000000;11487676;84970337;Sony Pictures;R;Drama;7,08086141666667e+00;1980
2003-12-12;Girl with a Pearl Earring;12000000;11634362;43274797;Other;PG-13;Drama;3,60623308333333e+00;2000
1981-03-20;The Postman Always Rings Twice;12000000;12200000;44200000;Paramount Pictures;NA;Drama;3,68333333333333e+00;1980
2008-10-03;Rachel Getting Married;12000000;12796861;17475475;Other;R;Drama;1,45628958333333e+00;2000
1998-10-30;Living Out Loud;12000000;12905901;12905901;Other;R;Drama;1,07549175000000e+00;1990
1997-08-06;Def Jam's How To Be a Player;12000000;14010363;14010363;Other;R;Comedy;1,16753025000000e+00;1990
2017-07-14;Wish Upon;12000000;14301505;23477345;Other;PG-13;Horror;1,95644541666667e+00;2010
2011-12-09;Young Adult;12000000;16311571;22750356;Paramount Pictures;R;Comedy;1,89586300000000e+00;2010
2001-10-05;Max Keeble's Big Move;12000000;17292381;17292381;Other;PG;Adventure;1,44103175000000e+00;2000
2004-01-09;My Baby's Daddy;12000000;17321573;17322212;Other;PG-13;Comedy;1,44351766666667e+00;2000
2013-11-15;Nebraska;12000000;17654912;24761360;Paramount Pictures;R;Drama;2,06344666666667e+00;2010
2006-03-03;Aquamarine;12000000;18597342;22978953;20th Century Fox;PG;Comedy;1,91491275000000e+00;2000
2005-03-11;The Upside of Anger;12000000;18761993;28915761;Other;R;Drama;2,40964675000000e+00;2000
1995-01-13;Tales from the Crypt: Demon Knight;12000000;21089146;21089146;Universal;R;Horror;1,75742883333333e+00;1990
2015-01-30;Project Almanac;12000000;22348241;32909437;Paramount Pictures;PG-13;Adventure;2,74245308333333e+00;2010
1998-09-11;Rounders;12000000;22921898;22921898;Other;R;Drama;1,91015816666667e+00;1990
2014-12-12;Top Five;12000000;25317379;26001741;Paramount Pictures;R;Comedy;2,16681175000000e+00;2010
2002-10-25;Frida;12000000;25885000;56131239;Other;R;Drama;4,67760325000000e+00;2000
1992-12-11;The Muppet Christmas Carol;12000000;27281507;27492918;Other;G;Comedy;2,29107650000000e+00;1990
2006-09-01;Crank;12000000;27838408;43924923;Other;R;Action;3,66041025000000e+00;2000
1960-10-07;Spartacus;12000000;30000000;60000000;Universal;PG-13;Action;5,00000000000000e+00;1960
2001-12-21;How High;12000000;31155435;31222395;Universal;R;Comedy;2,60186625000000e+00;2000
2004-04-07;Johnson Family Vacation;12000000;31203964;31286759;Other;PG-13;Comedy;2,60722991666667e+00;2000
2002-08-21;One Hour Photo;12000000;31597131;52223306;Other;R;Drama;4,35194216666667e+00;2000
2008-10-10;Quarantine;12000000;31691811;41924774;Sony Pictures;R;Horror;3,49373116666667e+00;2000
2015-07-24;Paper Towns;12000000;32000304;85512300;20th Century Fox;PG-13;Drama;7,12602500000000e+00;2010
1981-11-06;Time Bandits;12000000;37400000;37400000;Other;NA;Adventure;3,11666666666667e+00;1980
2013-11-22;Philomena;12000000;37709979;98963392;Other;PG-13;Drama;8,24694933333333e+00;2010
1997-12-25;Jackie Brown;12000000;39673162;74727492;Other;R;Drama;6,22729100000000e+00;1990
2016-11-25;Lion;12000000;51739495;149875676;Other;PG-13;Drama;1,24896396666667e+01;2010
1996-12-20;Beavis and Butt-Head Do America;12000000;63118386;63118386;Paramount Pictures;PG-13;Adventure;5,25986550000000e+00;1990
2006-08-11;Step Up;12000000;65328121;110989157;Other;PG-13;Drama;9,24909641666667e+00;2000
2012-02-24;Act of Valor;12000000;70012847;82497035;Other;R;Action;6,87475291666667e+00;2010
1994-02-04;Ace Ventura: Pet Detective;12000000;72217396;107217396;Warner Bros.;PG-13;Comedy;8,93478300000000e+00;1990
2002-09-13;Barbershop;12000000;75781642;77063461;Other;PG-13;Comedy;6,42195508333333e+00;2000
1982-06-04;Star Trek II: The Wrath of Khan;12000000;78912963;95800000;Paramount Pictures;PG;Adventure;7,98333333333333e+00;1980
1986-12-12;The Golden Child;12000000;79817937;79817937;Paramount Pictures;PG-13;Action;6,65149475000000e+00;1980
2014-04-16;Heaven is for Real;12000000;91386097;100916299;Sony Pictures;PG;Drama;8,40969158333333e+00;2010
1999-07-09;American Pie;12000000;101800948;234723148;Universal;R;Comedy;1,95602623333333e+01;1990
2014-06-06;The Fault in Our Stars;12000000;124872350;307166834;20th Century Fox;PG-13;Drama;2,55972361666667e+01;2010
1973-12-26;The Exorcist;12000000;204868002;402735134;Warner Bros.;R;Horror;3,35612611666667e+01;1970
1975-06-20;Jaws;12000000;260000000;470700000;Universal;PG;Horror;3,92250000000000e+01;1970
1988-11-18;The Land Before Time;12300000;48092846;81972846;Universal;G;Adventure;6,66445902439024e+00;1980
2010-04-16;The Perfect Game;12500000;1089445;3931367;Other;PG;Drama;3,14509360000000e-01;2010
2004-09-03;Tae Guik Gi: The Brotherhood of War;12500000;1110186;69826708;Other;R;Drama;5,58613664000000e+00;2000
1996-11-01;The Funeral;12500000;1212799;1412799;Other;R;Drama;1,13023920000000e-01;1990
1997-12-31;Oscar and Lucinda;12500000;1612957;1612957;Other;R;Drama;1,29036560000000e-01;1990
2010-05-21;Solitary Man;12500000;4360548;4360548;Other;R;Drama;3,48843840000000e-01;2010
2007-10-12;Lars and the Real Girl;12500000;5956480;11277119;Other;PG-13;Comedy;9,02169520000000e-01;2000
2010-10-15;Conviction;12500000;6797696;11826980;Other;R;Drama;9,46158400000000e-01;2010
1979-05-25;The Prisoner of Zenda;12500000;7000000;7000000;Universal;NA;Comedy;5,60000000000000e-01;1970
1982-04-02;Cat People;12500000;7000000;21000000;Universal;R;Drama;1,68000000000000e+00;1980
2008-11-07;The Boy in the Striped Pyjamas;12500000;9046156;44083403;Other;PG-13;Drama;3,52667224000000e+00;2000
1992-09-30;Glengarry Glen Ross;12500000;10725228;10725228;Other;R;Drama;8,58018240000000e-01;1990
2009-09-11;Sorority Row;12500000;11965282;26735797;Other;R;Horror;2,13886376000000e+00;2000
2002-11-22;The Emperor's Club;12500000;14060950;16193713;Universal;PG-13;Drama;1,29549704000000e+00;2000
1982-02-12;La Guerre du feu;12500000;20959585;20959585;20th Century Fox;NA;Adventure;1,67676680000000e+00;1980
2002-12-19;Antwone Fisher;12500000;21078145;23367586;Other;PG-13;Drama;1,86940688000000e+00;2000
2010-09-03;Machete;12500000;26593646;46370970;20th Century Fox;R;Action;3,70967760000000e+00;2010
2014-09-12;The Drop;12600000;10724389;19054534;Other;R;Drama;1,51226460317460e+00;2010
2010-06-18;The Killer Inside Me;13000000;217277;3617277;Other;R;Drama;2,78252076923077e-01;2010
2011-12-23;In The Land of Blood and Honey;13000000;303877;509193;Other;R;Drama;3,91686923076923e-02;2010
2011-07-29;Attack the Block;13000000;1024175;6459183;Sony Pictures;R;Action;4,96860230769231e-01;2010
2006-10-13;Infamous;13000000;1151330;2613717;Other;R;Drama;2,01055153846154e-01;2000
2006-03-17;Find Me Guilty;13000000;1173673;2898225;Other;R;Drama;2,22940384615385e-01;2000
2015-07-24;The Vatican Tapes;13000000;1784763;14999638;Other;PG-13;Horror;1,15381830769231e+00;2010
2010-12-03;I Love You, Phillip Morris;13000000;2037459;23014027;Other;R;Comedy;1,77030976923077e+00;2010
2010-02-26;Un Prophète;13000000;2087720;19910624;Other;R;Drama;1,53158646153846e+00;2010
2015-12-04;Youth;13000000;2703296;24002112;Other;R;Drama;1,84631630769231e+00;2010
2001-03-02;The Widow of St. Pierre;13000000;3058380;3058380;Other;R;Drama;2,35260000000000e-01;2000
2007-08-24;Resurrecting the Champ;13000000;3172382;3260555;Other;PG-13;Drama;2,50811923076923e-01;2000
2007-05-04;Paris, je t'aime;13000000;4857374;5175088;Other;R;Drama;3,98083692307692e-01;2000
2001-08-24;Bubble Boy;13000000;5002310;5002310;Other;PG-13;Comedy;3,84793076923077e-01;2000
1999-11-10;Light It Up;13000000;5871603;5871603;20th Century Fox;R;Drama;4,51661769230769e-01;1990
1999-08-04;Dick;13000000;6276869;6276869;Sony Pictures;PG-13;Comedy;4,82836076923077e-01;1990
1994-04-13;Serial Mom;13000000;7881335;7881335;Other;R;Comedy;6,06256538461538e-01;1990
2016-09-09;Robinson Crusoe;13000000;8005586;33490316;Other;PG;Adventure;2,57617815384615e+00;2010
1998-06-12;Dirty Work;13000000;10020081;10020081;Other;PG-13;Comedy;7,70775461538462e-01;1990
2007-02-23;The Astronaut Farmer;13000000;11003643;11141213;Warner Bros.;PG;Drama;8,57016384615385e-01;2000
2006-12-20;Letters from Iwo Jima;13000000;13756082;67867998;Warner Bros.;R;Drama;5,22061523076923e+00;2000
2015-10-16;Woodlawn;13000000;14394097;14403703;Other;PG;Drama;1,10797715384615e+00;2010
2015-10-16;Room;13000000;14677674;36262783;Other;R;Drama;2,78944484615385e+00;2010
2001-06-29;crazy/beautiful;13000000;16929123;19929123;Other;PG-13;Drama;1,53300946153846e+00;2000
2012-09-21;The Perks of Being a Wallflower;13000000;17742948;33069303;Other;PG-13;Drama;2,54379253846154e+00;2010
2007-11-21;The Mist;13000000;25593755;57189408;Other;R;Horror;4,39918523076923e+00;2000
2013-03-01;21 and Over;13000000;25682380;42195766;Other;R;Comedy;3,24582815384615e+00;2010
1996-07-10;Harriet the Spy;13000000;26570048;26570048;Paramount Pictures;PG;Adventure;2,04384984615385e+00;1990
1990-11-09;Child's Play 2;13000000;26904572;34166572;Universal;R;Horror;2,62819784615385e+00;1990
1998-04-24;The Big Hit;13000000;27066941;27066941;Sony Pictures;R;Action;2,08207238461538e+00;1990
1999-03-12;Baby Geniuses;13000000;27151490;27151490;Sony Pictures;PG;Adventure;2,08857615384615e+00;1990
1993-02-05;Loaded Weapon 1;13000000;27979399;27979399;Other;PG-13;Comedy;2,15226146153846e+00;1990
2002-05-10;The New Guy;13000000;28972187;28972187;Sony Pictures;PG-13;Comedy;2,22862976923077e+00;2000
2014-07-02;Earth to Echo;13000000;38934842;42174545;Other;PG;Adventure;3,24419576923077e+00;2010
2014-10-10;St. Vincent;13000000;44137712;54837234;Other;PG-13;Comedy;4,21824876923077e+00;2010
2000-12-15;Dude, Where's My Car?;13000000;46729374;73180297;20th Century Fox;PG-13;Comedy;5,62925361538462e+00;2000
2007-11-21;This Christmas;13000000;49121934;49733545;Sony Pictures;PG-13;Drama;3,82565730769231e+00;2000
1987-07-17;RoboCop;13000000;53424681;53424681;Other;R;Action;4,10959084615385e+00;1980
2016-06-24;The Shallows;13000000;55121623;118888025;Sony Pictures;PG-13;Drama;9,14523269230769e+00;2010
2000-02-11;Snow Day;13000000;60008303;62452927;Paramount Pictures;PG;Adventure;4,80407130769231e+00;2000
2016-03-16;Miracles from Heaven;13000000;61705123;73798720;Sony Pictures;PG;Drama;5,67682461538462e+00;2010
2001-01-12;Save the Last Dance;13000000;91038276;122244329;Paramount Pictures;PG-13;Drama;9,40340992307692e+00;2000
1987-12-23;Good Morning Vietnam;13000000;123922370;123922370;Other;R;Comedy;9,53249000000000e+00;1980
2004-12-17;Mar adentro;13300000;2086345;39686345;Other;PG-13;Drama;2,98393571428571e+00;2000
2011-04-01;The Last Godfather;13400000;164247;164247;Other;PG-13;Comedy;1,22572388059701e-02;2010
2001-03-02;The Caveman's Valentine;13500000;687081;892506;Other;R;Drama;6,61115555555556e-02;2000
2005-02-18;Der Untergang;13500000;5501940;93631744;Other;R;Drama;6,93568474074074e+00;2000
1982-01-29;The Border;13500000;6118683;6118683;Universal;NA;Drama;4,53235777777778e-01;1980
2000-11-22;Quills;13500000;7060876;11732088;Other;R;Drama;8,69043555555556e-01;2000
2012-10-12;Seven Psychopaths;13500000;15024049;33035736;Other;R;Comedy;2,44709155555556e+00;2010
2002-11-08;Far From Heaven;13500000;15901849;29027914;Other;PG-13;Drama;2,15021585185185e+00;2000
1990-03-30;Teenage Mutant Ninja Turtles;13500000;135265915;202000000;Other;PG;Adventure;1,49629629629630e+01;1990
1995-07-01;Clueless;13700000;56598476;56598476;Paramount Pictures;PG-13;Comedy;4,13127562043796e+00;1990
2005-12-09;Brokeback Mountain;13900000;83043761;177012173;Other;R;Drama;1,27346887050360e+01;2000
2011-09-30;Margaret;14000000;47185;623292;Other;R;Drama;4,45208571428571e-02;2010
2008-09-26;The Lucky Ones;14000000;266967;266967;Other;R;Drama;1,90690714285714e-02;2000
1978-01-01;Caravans;14000000;1000000;1000000;Universal;NA;Adventure;7,14285714285714e-02;1970
1995-03-31;Jefferson in Paris;14000000;2461628;2461628;Other;PG-13;Drama;1,75830571428571e-01;1990
2001-09-07;Soul Survivors;14000000;3100650;4288246;Other;PG-13;Horror;3,06303285714286e-01;2000
2014-12-19;Mr. Turner;14000000;3958546;25187026;Other;R;Drama;1,79907328571429e+00;2010
2015-10-23;Suffragette;14000000;4702420;34044909;Other;PG-13;Drama;2,43177921428571e+00;2010
1999-03-26;A Walk on the Moon;14000000;4741987;4741987;Other;R;Drama;3,38713357142857e-01;1990
2000-04-21;Gossip;14000000;5108820;12591270;Warner Bros.;R;Drama;8,99376428571429e-01;2000
2006-10-06;Little Children;14000000;5463019;14121177;Other;R;Drama;1,00865550000000e+00;2000
2007-11-30;Le Scaphandre et le Papillon;14000000;5990075;22754472;Other;PG-13;Drama;1,62531942857143e+00;2000
2012-10-26;Fun Size;14000000;9409538;11166615;Paramount Pictures;PG-13;Comedy;7,97615357142857e-01;2010
2006-11-17;Bobby;14000000;11242801;20597806;Other;R;Drama;1,47127185714286e+00;2000
2015-02-20;Hot Tub Time Machine 2;14000000;12314651;12452601;Paramount Pictures;R;Comedy;8,89471500000000e-01;2010
1994-05-13;Crooklyn;14000000;13024170;13024170;Universal;PG-13;Comedy;9,30297857142857e-01;1990
2002-04-26;Jason X;14000000;13121555;16951798;Other;R;Horror;1,21084271428571e+00;2000
1999-05-14;Tea with Mussolini;14000000;14395874;14395874;Other;PG;Drama;1,02827671428571e+00;1990
1996-10-25;Thinner;14000000;15171475;15171475;Paramount Pictures;R;Horror;1,08367678571429e+00;1990
2006-05-05;An American Haunting;14000000;16298046;30443277;Other;PG-13;Horror;2,17451978571429e+00;2000
1995-10-27;Vampire in Brooklyn;14000000;19637147;19637147;Paramount Pictures;R;Horror;1,40265335714286e+00;1990
2010-03-12;Our Family Wedding;14000000;20255281;21410546;Other;PG-13;Comedy;1,52932471428571e+00;2010
1977-06-17;Exorcist II: The Heretic;14000000;25011000;25011000;Warner Bros.;NA;Horror;1,78650000000000e+00;1970
2002-03-08;All About the Benjamins;14000000;25482931;25873145;Other;R;Comedy;1,84808178571429e+00;2000
2002-10-04;Jonah: A VeggieTales Movie;14000000;25571351;25608779;Other;G;Adventure;1,82919850000000e+00;2000
1993-07-23;Poetic Justice;14000000;27450453;27450453;Sony Pictures;R;Drama;1,96074664285714e+00;1990
2012-01-13;The Iron Lady;14000000;29959436;115592104;Other;PG-13;Drama;8,25657885714286e+00;2010
1999-10-08;Superstar;14000000;30628981;30628981;Paramount Pictures;PG-13;Comedy;2,18778435714286e+00;1990
1988-12-21;Dangerous Liaisons;14000000;34700000;34700000;Warner Bros.;R;Drama;2,47857142857143e+00;1980
1991-01-18;White Fang;14000000;34729091;34729091;Other;PG;Adventure;2,48064935714286e+00;1990
2012-02-24;Tyler Perry's Good Deeds;14000000;35025791;35579177;Other;PG-13;Drama;2,54136978571429e+00;2010
